player_name,champion_name,team_name,mean_winprob,games,favorability_0_100
Driver,Rumble,Beyond Gaming,0.9998984,6,99.98984
knight,LeBlanc,Bilibili Gaming,0.9998975,5,99.989746
Kaiwing,Trundle,PSG Talon,0.9998914,5,99.98914
Faker,Vex,T1,0.9998909,5,99.98909
Ruler,Smolder,JD Gaming,0.99988306,5,99.988304
matiaslaclasse,Lucian,Team du Sud,0.9998685,7,99.986855
Moojin,Volibear,V3 Esports,0.9998666,5,99.986664
Lauxio,Rakan,SPIKE Syndicate,0.9998579,5,99.985794
JunJia,Skarner,PSG Talon,0.9998494,7,99.98494
Likai,Renekton,Machi Esports,0.9998441,5,99.984406
Hook,Olaf,Joy Dream,0.99983525,6,99.98353
Obsess,Skarner,MOUZ NXT,0.9998193,5,99.981926
Bin,Udyr,Bilibili Gaming,0.99981797,5,99.9818
Likai,Renekton,Beyond Gaming,0.999816,7,99.9816
Kumo,Lee Sin,FlyQuest Academy,0.9998007,5,99.98007
Inori,Jarvan IV,Cloud9 Academy,0.9997407,5,99.974075
HolyPhoenix,Kalista,1907 Fenerbahçe Esports,0.999736,5,99.9736
Gaeng,Nautilus,DetonatioN FocusMe,0.99973553,5,99.97356
Julbu,Maokai,GnG Amazigh,0.9997274,5,99.97274
Lurox,Vi,SK Gaming Prime,0.9997154,7,99.97154
Xerxe,Poppy,Team Heretics Academy,0.9997066,5,99.970665
Chieftain,Lee Sin,NASR eSports Turkey,0.99970263,5,99.97026
Ackerman,Sett,Infinity Esports,0.999701,5,99.9701
StenBosse,Gnar,Macko Esports,0.99968636,5,99.968636
Khantos,Jhin,Entropiq,0.9996829,5,99.96829
Liang,Renekton,Beyond Gaming,0.9996826,5,99.96826
seaz,Gragas,Berlin International Gaming,0.9996811,5,99.96811
zs,Camille,Invictus Gaming Young,0.99967444,5,99.967445
Ino,Camille,Rascal Jester,0.9996567,7,99.96567
Howling,Poppy,BK ROG Esports,0.999656,5,99.9656
Simpli,LeBlanc,FC Schalke 04 Esports,0.9996433,5,99.96433
Gadget,Twitch,SK Gaming Prime,0.9996151,5,99.96151
Taki,Gragas,Saigon Buffalo,0.9996139,5,99.96139
HolyPhoenix,Sivir,Istanbul Wildcats,0.99960816,5,99.960815
Parus,Pyke,BDS Academy,0.9996077,7,99.96077
Spirit,Qiyana,Afreeca Freecs,0.9995936,5,99.95936
Color,Renekton,Zero Tenacity,0.99959093,6,99.95909
Perry,Volibear,Dignitas Academy,0.9995866,5,99.95866
Evi,Gwen,DetonatioN FocusMe,0.9995732,6,99.95731
StenBosse,Viego,Macko Esports,0.9995586,5,99.955864
Gori,Azir,PSG Talon,0.999557,7,99.9557
Honor,Nami,Team du Sud,0.9995432,6,99.954315
Eckas,Karthus,GameWard,0.99954206,5,99.95421
Only,Lillia,Dire Wolves,0.99953574,5,99.953575
BeryL,Maokai,DAMWON Gaming,0.9995162,8,99.95162
Carry,Rell,BoostGate Esports,0.99950445,5,99.95045
Keduii,Xayah,Berlin International Gaming,0.99947006,5,99.94701
Gilius,Sejuani,FC Schalke 04 Esports,0.99946177,5,99.946175
113,Maokai,Karmine Corp Blue,0.9994353,7,99.94353
Jiejie,Diana,EDward Gaming,0.99942416,5,99.94241
Chovy,Aatrox,DRX,0.99941874,5,99.94187
Th3Antonio,Rumble,Giants,0.9994146,5,99.94146
369,Gnar,Top Esports,0.9994083,7,99.940834
Woody,Braum,PSG Talon,0.9993986,5,99.93986
Kamilius,Renata Glasc,GameWard,0.99939334,5,99.93933
Ramune,Azir,Sengoku Gaming,0.99938554,5,99.93855
Szygenda,Fiora,Vitality.Bee,0.9993628,8,99.93628
Maxlore,Vi,Barça eSports,0.9993628,5,99.93628
Licorice,Ornn,Cloud9,0.9993536,5,99.935356
Ksaez,Orianna,SuperMassive Blaze,0.9993404,5,99.934044
Adam,Aatrox,BDS Academy,0.999335,7,99.9335
Dioge,Annie,KaBuM! Academy,0.99932945,5,99.932945
Enso,Tahm Kench,J Team,0.9993225,7,99.93225
Piero,Maokai,Unicorns Of Love Sexy Edition,0.99932075,6,99.932076
Ellam,Aphelios,GameWard,0.9993203,6,99.93203
369,Gwen,JD Gaming,0.9992907,8,99.92907
Doinb,Nocturne,FunPlus Phoenix,0.9992865,5,99.92865
Keduii,Kai'Sa,BDS Academy,0.99928105,7,99.92811
Whynot,Kindred,Team Bliss,0.9992794,5,99.92794
Kiin,Skarner,Gen.G,0.99927646,5,99.92764
Jackies,Tristana,Entropiq,0.999266,5,99.926605
yaoyao,Alistar,ThunderTalk Gaming Young,0.9992445,6,99.92445
Obsess,Trundle,MOUZ NXT,0.9992299,5,99.92299
Destroy,Renekton,The Kings,0.9992281,5,99.92281
Zeka,Smolder,Hanwha Life Esports,0.9992183,5,99.92183
Candy,Pantheon,PSG Talon,0.99921346,6,99.92135
Kabbie,Yuumi,Zero Tenacity,0.999211,5,99.921104
Scout,Lee Sin,EDward Gaming,0.99921083,6,99.92108
Kati,Vex,GAM Esports,0.9992009,8,99.92009
Young,Sylas,Disguised,0.9991763,6,99.91763
Venour,Olaf,Unicorns Of Love Sexy Edition,0.99917,5,99.917
Sahira,Hwei,SPIKE Syndicate,0.99916774,9,99.91677
Eyliph,Rumble,Anorthosis Famagusta Esports,0.99916315,6,99.91631
Leaky,Gwen,Deep Cross Gaming,0.99915874,5,99.91587
Clear,Malphite,DRX Challengers,0.9991498,5,99.91498
Backlund,Yasuo,LDLC OL,0.9991496,5,99.91496
Hang,Heimerdinger,LNG Esports,0.99913454,6,99.91345
Jackspektra,Draven,Team Heretics Academy,0.99911577,5,99.911575
Advienne,Alistar,BT Excel,0.99911314,6,99.911316
Shlatan,Gragas,K1CK,0.9991058,5,99.91058
Nikola,Alistar,Z10 ESHARK,0.99909717,5,99.90971
Peanut,Kha'Zix,Gen.G,0.99908334,10,99.90833
OnFleek,Vi,Isurus,0.999077,6,99.9077
Kamiloo,Syndra,IZI Dream,0.99905646,7,99.90565
JNX,Olaf,SK Gaming Prime,0.99905556,6,99.905556
Bluerzor,Rek'Sai,Zero Tenacity,0.9990522,8,99.90522
Kiin,Jax,Gen.G,0.99904346,5,99.90434
Jelly,Ornn,Isurus,0.9990222,5,99.90222
Nomanz,Vayne,Unicorns of Love,0.9990075,5,99.90075
Shunn,Draven,CTBC Flying Oyster,0.99896747,7,99.89674
